Week,Posts,PostsInWeek
2,"  WhereIsRey  To reiterate,  Hasbro  and  Target  are releasing this set with no female characters. No Leia, Rey, Phasma: http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …View conversation ",314
2,"OK, this isn't oversight, is it? It's damn near deliberate trolling.   WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …OK, this isn't oversight, is it? It's damn near deliberate trolling.   WhereIsRey   http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …",314
2,This is how I imagine  Target  saw the Frozen toy line.   WhereIsRey  ,314
2,"Even when she's the main character,  Hasbro  don't do female action figures: http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …   WhereIsRey  ",314
2,Ummm...is their seriously no Rey toy?  WhereIsRey ,314
2,"To reiterate,  Hasbro  and  Target  are releasing this set with no female characters. No Leia, Rey, Phasma: http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …",314
2,. Hasbro News   WhereIsRey   WheresPhasma WheresHera WheresSabine WheresAhsoka WheresLeiaInAnyOutfitBesidesTheMetalBikini,314
2," Target  may have stopped gendering their toy aisles, but  Hasbro  si clearly not doing it with toys http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …   WhereIsRey   Target  may have stopped gendering their toy aisles, but  Hasbro  si clearly not doing it with toys http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …   WhereIsRey  ",314
2,"  WhereIsRey   –  Hasbro ,  Target , Are We Really Going to Start  StarWars  This Way? | Welcome to the Legion! http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …  WhereIsRey   –  Hasbro ,  Target , Are We Really Going to Start  StarWars  This Way? | Welcome to the Legion! http://legionofleia.com/2015/11/  WhereIsRey   Hasbro  Target arewereallygoingtostart StarWars thisway/ …",314
2,"  WhereIsRey   Using Force to strangle the jackass responsible for   StarWars    WhereIsRey   Using Force to strangle the jackass responsible for   StarWars  toy set ... ""I find your lack of female heroes... disturbing.""",314
2,Gaychel22  Disney  just check   WhereIsRey  View conversation ,314
2,RT JamieFord: Avengers setno Black Widow Guardians setno Gamora  StarWars no ReyTHE MAIN CHARACTER   WhereIsRey  ,314
2,. Target   Hasbro News Why does your TheForceAwakensexclusive have no female figures? http://www.heroic girl .com/ Target whereexclusivemeansexcluding girl / …  WhereIsRey  WhereisPhasma,314
2,.spearxxi Yes it is. Sadly time to break out  WhereIsRey  WeWantRey WeWantLeia WeWantPhasmaView conversation ,314
2, Hasbro   Target    WhereIsRey   ? You exclude a female character yet again.,314
2,geek_kay ChuckWendig Rey is also coming in the  Hasbro news Galactic Heroes line   WhereIsRey   theforceawakens,314
2,"Can't believe I have to say this, but   WhereIsRey  ? WTF? Seriously. In case you didn't get it, she's the main character FFS. Grrrr.Can't believe I have to say this, but   WhereIsRey  ? WTF? Seriously. In case you didn't get it, she's the main character FFS. Grrrr.",314
2,"Apparently, the idea that  girl  have cooties isn't perpetuated on the playground, it's in corporate offices.   WhereIsRey  Apparently, the idea that  girl  have cooties isn't perpetuated on the playground, it's in corporate offices.   WhereIsRey  ",314
2,"When you deliberately eliminate an important female character from toys, you teach boys not to empathize with women.   WhereIsRey  When you deliberately eliminate an important female character from toys, you teach boys not to empathize with women.   WhereIsRey  ",314
2,wtf   WhereIsRey   are you guys sexist?wtf   WhereIsRey   are you guys sexist?,314
2,hey  Target  we're all wondering   WhereIsRey  ,314
2,"Now then, look  Hasbro ! Seriously ...   WhereIsRey  ",314
2,"Mad at  Hasbro  for the   WhereIsRey   thing? First, good. You should be. Second, this is the company that thought JemTheMovie was a good idea.",314
2,  WhereIsRey  :  StarWars  The Force Awakens toy set doesn't bother to include film's protagonist http://www.digitalspy.com/movies/ StarWars /news/a773982/  WhereIsRey   StarWars theforceawakenstoysetdoesntbothertoincludefilmsprotagonist/ … via DigitalSpy ,314
2,WHY DOES THIS KEEP FUCKING HAPPENING?!  WhereIsRey    StarWars  WHY DOES THIS KEEP FUCKING HAPPENING?!  WhereIsRey    StarWars  HONESTWHATEVENANYMORE FUUUUUUCK,314
2,"I think I know more women than men excited about  StarWars , so not having Rey in merch literally makes no sense to me.   WhereIsRey  I think I know more women than men excited about  StarWars , so not having Rey in merch literally makes no sense to me.   WhereIsRey  ",314
2,Super disappointing. Let's send a better message to the  girl  of the world.   WhereIsRey     StarWars  Avengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  ,314
2,This is actually really weird... Where is the lead character?   WhereIsRey  Avengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  ,314
2,Could someone explain to me how the hell companies haven't realized we're gonna get pissed at the exclusion of women in toys?   WhereIsRey  Could someone explain to me how the hell companies haven't realized we're gonna get pissed at the exclusion of women in toys?   WhereIsRey  ,314
2,"Whyyyyy do you keep doing this,  Disney ?   WhereIsRey  Whyyyyy do you keep doing this,  Disney ?   WhereIsRey  ",314
2,  WhereIsRey  Fans wonder why 'Force Awakens' protagonist Rey is missing from toy shelves: http://on.mash.to/1ln9a8O ,314
2,  WhereIsRey   wheresblackwidow Can't wait till CaptainMarvel and WonderWoman come out and we get no toylines for either.  WhereIsRey   wheresblackwidow Can't wait till CaptainMarvel and WonderWoman come out and we get no toylines for either.,314
2,"Oh, and this too.   WhereIsRey   TheresReyOh, and this too.   WhereIsRey   TheresRey",314
2,  WhereIsRey   TheresRey  WhereIsRey   TheresRey,314
2,Avengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  ,314
2,  StarWars  The Force Awakens toy set doesn't bother to include film's protagonist   WhereIsRey   http://dspy.me/1Qmki2h ,314
2,  WhereIsRey  ,314
2,"Got this in my inbox, and oh my god. It's so true. You should be pissed too, $50 and doesn't have one of the mains?",314
2,"Got this in my inbox, and oh my god. It's so true. You should be pissed too, $50 and doesn't have one of the mains?",314
2," Hasbro  Excludes Rey and Captain Phasma From Figure Set, History Repeats Itself   WhereIsRey   http://bit.ly/1Sq5Nbx  Hasbro  Excludes Rey and Captain Phasma From Figure Set, History Repeats Itself   WhereIsRey   http://bit.ly/1Sq5Nbx ",314
2,"Left out one of the film's protagonists, but included a character called ""First Order TIE Fighter Pilot.""   WhereIsRey    StarWars  The Force Awakens toy set doesn't bother to include film's protagonist   WhereIsRey   http://dspy.me/1Qmki2h ",314
2,  WhereIsRey    WhereIsRey  ,314
2," Hasbro  Excludes Rey and Captain Phasma From Action Figure Set, History Repeats Itself http://www.themarysue.com/ Hasbro wheresreyfigures/ … via TheMarySue   WhereIsRey   ",314
2, WhereIsRey  WhereIsRey ,314
2,"One point lost in all of this  WhereIsRey  outrage is that absolutely nobody cares about the 12"" Hero Series.One point lost in all of this  WhereIsRey  outrage is that absolutely nobody cares about the 12"" Hero Series.",314
2,"No I'm not surprised that  Disney  is deemphasizing female  StarWars  & Marvel characters in merch. Still disappointed, though.   WhereIsRey  No I'm not surprised that  Disney  is deemphasizing female  StarWars  & Marvel characters in merch. Still disappointed, though.   WhereIsRey  ",314
2,Billy gets 5 pieces of chocolate. Sandy gets one and is told that she now has an equal amount of chocolate.   WhereIsRey  Billy gets 5 pieces of chocolate. Sandy gets one and is told that she now has an equal amount of chocolate.   WhereIsRey  ,314
2,Why does  Disney  keep screwing up their merchandise marketing? http://uproxx.it/1kuxQfl ,314
2,Seriously. What the hell? WheresBlackWidow WheresGamora   WhereIsRey     StarWars  Avengers GuardiansoftheGalaxyAvengers set  no Black Widow Guardians set  no Gamora  StarWars   no Rey. She's THE MAIN CHARACTER.   WhereIsRey  ,314
2,"Grabed a baby shower present for Sonja last night, and strolled through the   StarWars  Grabed a baby shower present for Sonja last night, and strolled through the   StarWars  toys. Did not see any female characters.   WhereIsRey  ",314
2,.amy_geek is right.  Target  really screwed this one up.   WhereIsRey     StarWars  http://nerdist.com/ StarWars theforceawakenssetat Target leavesreyoutanditsnotokay/ …,314
2, Hasbro   Target  Seriously guys... what era do you pretend it is in Cloud Cuckoo Land?  http://www.dailydot.com/geek/ StarWars forceawakenswheresreyactionfigureset/ …   WhereIsRey  ,314
2,"Who are you? ""I'm no one."" ""Cool, we'll just throw in a Stormtrooper and a random pilot then""   WhereIsRey  ""Who are you?"" ""I'm no one."" ""Cool, we'll just throw in a Stormtrooper and a random pilot then""   WhereIsRey  ",314
2,JamieFord cenewman0 Kinda confused on that one....did she not like the model or what?   WhereIsRey  View conversation ,314
